author,updated_at,like_count,text,public
@yhoan7124,2024-04-15T18:11:21Z,0,"Fui fanatica tuya antes y aurita también... Los dos conocimos al verdadero amor, el amigo q nunca nos deja y el padre que siempre nos espera con los brazos abierto sin importar  su pecado❤ siempre da una oportunidad mas saludos mandame un saludos dady  yoana Alejandro..",True
@nataliajuncos161,2024-04-15T17:55:14Z,0,2corintios 7.14,True
@nataliajuncos161,2024-04-15T17:50:18Z,0,❤me encantooo todos los duas te escucho y te miro ❤vas a volver ❤🇦🇷🦅💒,True
@rosabellemaillot3559,2024-04-15T16:12:34Z,3,🥳🥳🥳💋❤❤❤❤❤❤❤❤❤❤❤❤❤,True
@suzy1190,2024-04-15T16:00:43Z,4,"Amén, Dios permita, que, toda persona que escuche esta canción  escuche la letra y no se lleve por el ritmo, que es lo que hace la mayoría. Dios te bendiga!. Me gustaría oír una canción tuya con Alex Zurdo",True
@carlosrosa0156,2024-04-15T15:49:53Z,1,"Para Lante mi hermano, deja que el fuego del Espíritu Santo te guíe y nada detendrá la obra de nuestro padre celestial en tu vida y la vida de los tuyos. Dios bendiga",True
@fernandorios7249,2024-04-15T15:30:27Z,0,Imagínate el remix con... Redimido...nathan...farruko...almighty!!!???,True
@user-hb8ff4pm1m,2024-04-15T14:54:34Z,0,Que es esto. ? Nunca es tarde para pedir perdón y esta música no es para Dios,True
@kevincastillo6418,2024-04-15T14:31:48Z,1,Amén 🙏🏾,True
@sergiojosuemurguiapalomino8400,2024-04-15T14:29:28Z,1,Dios te bendiga Daddy Yankee. Que vengan y sigan los éxitos . 🎉,True
@user-hz1un1zb2s,2024-04-15T14:14:24Z,1,Sabes que los tiempos de dios son perfectos❤,True
@andresaraniz4732,2024-04-15T14:03:27Z,1,No cambio. Dios produce un cambio rotundo sigue siendo el mismo nomás no hay arrepentimiento ni comvertimoento Dios te reprenda day Yanke eres un falso cristiano !! Los ingusto no heredarán el reino de los cielos Dios no es moderno !! El es el mismo de ayer y hoy y por los siglos !!!,True
