author,updated_at,like_count,text,public
@nicolemarie6317,2024-03-25T00:55:58Z,0,Oof ❤,True
@laurancestreet1874,2024-03-23T23:56:38Z,0,The accidental mic drop was perfect ❤,True
@JacquelineSittimy,2024-03-23T19:02:38Z,1,"Esta música  é  encantadora, suave e romântica  também! Jacquelline  Sittimy 🎉",True
@JacquelineSittimy,2024-03-23T18:59:21Z,1,Gostei muito  desta música. Um estilo romântico!❤Jacquelline  Sittimy.,True
@georgejosephhaigh7725,2024-03-23T18:23:52Z,1,"God I love his music and voice , I'm 64 and I grew up listening to a lot of great music and artists and Post Malone would've fitted right in back than , would love to see him when he ever comes to Philadelphia 👍✌",True
@user-bx1ut2dm8e,2024-03-23T11:33:12Z,0,I’m so excited about this song hits me deep I just want you to be you I think we’ll I know you are cool to me I’d do anything to be cool to you seriously ❤  you are everything to me Love you nothing but love for you,True
@CutNews-gp9yb,2024-03-22T22:10:53Z,0,Is this guy Human? WTF it's a HERO,True
@JacquelineSittimy,2024-03-22T20:20:43Z,1,Musicao! Canta muito! Post Malone é  único...❤Jacquelline  Sittimy.,True
@johnnyraybartoshevich3073,2024-03-22T19:50:48Z,0,I'm not just anyone's fool come this April's 1 2924 this Easter egg Monday coming 😊🎉❤ johb121 1:06,True
@ksusha3111,2024-03-22T14:18:36Z,1,That trembling in his voice❤,True
@juliealderton7576,2024-03-22T13:16:01Z,1,New fan ❤️,True
@14th4ddiction,2024-03-22T03:01:58Z,0,"/\_/\  
 ( o.o ) 
 > ^ <
Like if you're watching in 2024!!! :3",True
@musicwith9lives,2024-03-21T23:18:35Z,0,"Wow, asked my son what sound is this....Livingston.....and then he told me about you !!  Already Hooked Line and Sinker!! Instant subscribe....Best to you in All you are in this Life!!  vintage poet, singer, and entertainer, children songwriter ~ KAT",True
@AngelaCalise-cf4sc,2024-03-21T23:02:00Z,1,It's okay posty,True
@_Txmmy,2024-03-21T08:56:27Z,1,Hey Post....,True
@trishachief7009,2024-03-21T02:33:09Z,1,❤,True
